onset	duration	nwb_table	epoch_name	behavioral_paradigm	environment	manipulation	peak_time	peak_normed_power	center_time	state	label
0.0	2920.6101	epochs	fCamk5_210414_090350	BaselinePre	Home cage	None					
0.089	0.08300000000000002	HSETimeIntervals					0.14		0.1305		
1.0	25.0	SleepStates									WAKEstate
1.2272	0.03839999999999999	RippleTimeIntervals					1.232	4.282487079558292			
1.5320000000000003	0.12199999999999989	HSETimeIntervals					1.6170000000000002		1.5930000000000002		
1.9420000000000002	0.2639999999999998	HSETimeIntervals					2.035		2.0740000000000003		
3.1580000000000004	0.1499999999999999	HSETimeIntervals					3.206		3.2330000000000005		
3.382	0.12199999999999989	HSETimeIntervals					3.4250000000000003		3.443		
3.543	0.2869999999999999	HSETimeIntervals					3.7		3.6865		
3.5488	0.027200000000000113	RippleTimeIntervals					3.5584000000000002	10.612632438328314			
4.053	0.1459999999999999	HSETimeIntervals					4.161		4.126		
6.02	0.40700000000000003	HSETimeIntervals					6.306		6.2235		
6.494	0.25900000000000034	HSETimeIntervals					6.627		6.6235		
7.387	0.26400000000000023	HSETimeIntervals					7.568		7.518999999999999		
7.723	0.23299999999999965	HSETimeIntervals					7.785		7.8395		
8.020000000000001	0.11099999999999888	HSETimeIntervals					8.091000000000001		8.075500000000002		
9.634400000000001	0.039199999999999235	RippleTimeIntervals					9.6472	12.357087935945552			
10.146	0.16600000000000037	HSETimeIntervals					10.276000000000002		10.229000000000001		
11.7296	0.19120000000000026	UpDownStatesTimeIntervals								UP	
12.2504	0.1936	UpDownStatesTimeIntervals								UP	
12.671000000000001	0.24099999999999966	HSETimeIntervals					12.735000000000001		12.791500000000001		
13.1048	0.2552000000000003	UpDownStatesTimeIntervals								UP	
13.606000000000002	0.15899999999999892	HSETimeIntervals					13.681000000000001		13.685500000000001		
14.2584	0.14320000000000022	UpDownStatesTimeIntervals								UP	
14.488	0.2024000000000008	UpDownStatesTimeIntervals								DOWN	
14.6904	0.2400000000000002	UpDownStatesTimeIntervals								UP	
15.078000000000001	0.1479999999999997	HSETimeIntervals					15.189		15.152000000000001		
16.299	0.1059999999999981	HSETimeIntervals					16.349		16.352		
16.479	0.39699999999999847	HSETimeIntervals					16.707		16.6775		
16.492	0.2367999999999988	UpDownStatesTimeIntervals								UP	
16.6344	0.02880000000000038	RippleTimeIntervals					16.656000000000002	3.689514837233509			
17.0552	0.10079999999999956	UpDownStatesTimeIntervals								DOWN	
17.156	0.1136000000000017	UpDownStatesTimeIntervals								UP	
17.752	0.19040000000000035	UpDownStatesTimeIntervals								UP	
18.2568	0.13200000000000145	UpDownStatesTimeIntervals								UP	
18.8536	0.12719999999999843	UpDownStatesTimeIntervals								UP	
19.3768	0.12400000000000233	UpDownStatesTimeIntervals								UP	
19.798	0.16000000000000014	HSETimeIntervals					19.883		19.877999999999997		
20.6672	0.2735999999999983	UpDownStatesTimeIntervals								UP	
20.79	0.13800000000000168	HSETimeIntervals					20.877		20.858999999999998		
21.0608	0.6416000000000004	UpDownStatesTimeIntervals								UP	
21.308	0.2889999999999979	HSETimeIntervals					21.558		21.4525		
21.8936	0.24960000000000093	UpDownStatesTimeIntervals								UP	
22.3128	0.21600000000000108	UpDownStatesTimeIntervals								DOWN	
22.6776	0.1687999999999974	UpDownStatesTimeIntervals								UP	
24.0064	0.19679999999999964	UpDownStatesTimeIntervals								UP	
24.058	0.2510000000000012	HSETimeIntervals					24.275		24.1835		
26.0416	0.13360000000000127	UpDownStatesTimeIntervals								UP	
26.064999999999998	0.22500000000000142	HSETimeIntervals					26.12		26.1775		
27.0	97.0	SleepStates									NREMstate
27.1728	0.1872000000000007	UpDownStatesTimeIntervals								UP	
27.419999999999998	0.09600000000000009	HSETimeIntervals					27.459		27.467999999999996		
28.1912	0.12959999999999994	UpDownStatesTimeIntervals								UP	
28.8784	0.17920000000000158	UpDownStatesTimeIntervals								UP	
29.3072	0.037599999999997635	UpDownStatesTimeIntervals								DOWN	
29.7128	0.14320000000000022	UpDownStatesTimeIntervals								UP	
30.5088	0.17040000000000077	UpDownStatesTimeIntervals								UP	
31.095200000000002	0.038399999999999324	RippleTimeIntervals					31.1144	15.73489247161207			
31.2024	0.13840000000000074	UpDownStatesTimeIntervals								DOWN	
31.3408	0.13599999999999923	UpDownStatesTimeIntervals								UP	
31.8416	0.21039999999999992	UpDownStatesTimeIntervals								UP	
32.111000000000004	0.10600000000000165	HSETimeIntervals					32.173		32.164		
32.4336	0.30799999999999983	UpDownStatesTimeIntervals								UP	
32.49	0.25	HSETimeIntervals					32.648		32.615		
33.0112	0.10079999999999956	UpDownStatesTimeIntervals								UP	
34.4904	0.3111999999999995	UpDownStatesTimeIntervals								UP	
34.5568	0.03519999999999612	RippleTimeIntervals					34.5872	6.388803624182561			
36.9224	0.2383999999999986	UpDownStatesTimeIntervals								UP	
37.016000000000005	0.12399999999999523	HSETimeIntervals					37.059000000000005		37.078		
37.4432	0.09040000000000248	UpDownStatesTimeIntervals								UP	
38.0016	0.15199999999999392	UpDownStatesTimeIntervals								UP	
38.169000000000004	0.15800000000000125	HSETimeIntervals					38.229000000000006		38.248000000000005		
38.6056	0.17360000000000042	UpDownStatesTimeIntervals								UP	
38.859	0.10300000000000153	HSETimeIntervals					38.907000000000004		38.9105		
39.5848	0.26319999999999766	UpDownStatesTimeIntervals								UP	
40.7216	0.1039999999999992	UpDownStatesTimeIntervals								UP	
41.2304	0.2623999999999995	UpDownStatesTimeIntervals								UP	
41.246	0.26500000000000057	HSETimeIntervals					41.333000000000006		41.3785		
41.7216	0.07839999999999492	UpDownStatesTimeIntervals								DOWN	
41.9424	0.15760000000000218	UpDownStatesTimeIntervals								UP	
42.3344	0.30160000000000053	UpDownStatesTimeIntervals								DOWN	
43.29600000000001	0.2259999999999991	HSETimeIntervals					43.370000000000005		43.409000000000006		
43.3584	0.030400000000000205	RippleTimeIntervals					43.384	3.746945058160865			
44.014	0.13400000000000034	HSETimeIntervals					44.076		44.081		
44.166000000000004	0.22099999999999653	HSETimeIntervals					44.319		44.276500000000006		
44.597	0.38000000000000256	HSETimeIntervals					44.695		44.787		
45.895	0.1319999999999979	HSETimeIntervals					45.993		45.961000000000006		
45.936	0.2967999999999975	UpDownStatesTimeIntervals								UP	
46.3936	0.2896000000000001	UpDownStatesTimeIntervals								UP	
46.488800000000005	0.03599999999999426	RippleTimeIntervals					46.5152	20.8695069839307			
47.0376	0.1688000000000045	UpDownStatesTimeIntervals								UP	
47.684	0.3208000000000055	UpDownStatesTimeIntervals								UP	
48.7032	0.1495999999999995	UpDownStatesTimeIntervals								DOWN	
48.8528	0.2335999999999956	UpDownStatesTimeIntervals								UP	
49.764	0.07039999999999935	UpDownStatesTimeIntervals								DOWN	
50.024	0.15919999999999845	UpDownStatesTimeIntervals								UP	
51.4496	0.20000000000000284	UpDownStatesTimeIntervals								UP	
51.669000000000004	0.13000000000000256	HSETimeIntervals					51.754000000000005		51.734		
52.112	0.2751999999999981	UpDownStatesTimeIntervals								UP	
52.187000000000005	0.3019999999999996	HSETimeIntervals					52.437000000000005		52.33800000000001		
52.5232	0.04719999999999658	UpDownStatesTimeIntervals								DOWN	
52.8032	0.19200000000000017	UpDownStatesTimeIntervals								UP	
53.3096	0.1319999999999979	UpDownStatesTimeIntervals								UP	
53.7224	0.02960000000000207	RippleTimeIntervals					53.744800000000005	7.75280980903721			
53.8584	0.1191999999999993	UpDownStatesTimeIntervals								UP	
53.872	0.07440000000000424	RippleTimeIntervals					53.908	15.365874149280216			
54.6664	0.07439999999999714	UpDownStatesTimeIntervals								DOWN	
54.7408	0.19440000000000168	UpDownStatesTimeIntervals								UP	
55.5648	0.22800000000000153	UpDownStatesTimeIntervals								UP	
55.829	0.1390000000000029	HSETimeIntervals					55.886		55.8985		
56.5752	0.21920000000000073	UpDownStatesTimeIntervals								UP	
57.3928	0.2447999999999979	UpDownStatesTimeIntervals								UP	
57.42	0.17200000000000415	HSETimeIntervals					57.471000000000004		57.506		
57.5448	0.043199999999998795	RippleTimeIntervals					57.5672	29.26392230129765			
59.160000000000004	0.13700000000000045	HSETimeIntervals					59.215		59.228500000000004		
59.1784	0.14639999999999986	UpDownStatesTimeIntervals								UP	
59.8176	0.26559999999999917	UpDownStatesTimeIntervals								UP	
59.932	0.12300000000000466	HSETimeIntervals					59.970000000000006		59.993500000000004		
60.385000000000005	0.2119999999999962	HSETimeIntervals					60.441		60.49100000000001		
60.8808	0.2383999999999986	UpDownStatesTimeIntervals								UP	
62.348	0.2775999999999996	UpDownStatesTimeIntervals								UP	
62.8288	0.05359999999999587	UpDownStatesTimeIntervals								DOWN	
62.8824	0.2248000000000019	UpDownStatesTimeIntervals								UP	
64.1936	0.1280000000000001	UpDownStatesTimeIntervals								UP	
64.64699999999999	0.20300000000000296	HSETimeIntervals					64.747		64.74849999999999		
64.7112	0.21759999999999025	UpDownStatesTimeIntervals								UP	
65.2544	0.10559999999999548	UpDownStatesTimeIntervals								UP	
65.69120000000001	0.02559999999999718	RippleTimeIntervals					65.69760000000001	3.843094288713009			
66.132	0.17600000000000193	UpDownStatesTimeIntervals								UP	
66.5328	0.3672000000000111	UpDownStatesTimeIntervals								UP	
66.657	0.1740000000000066	HSETimeIntervals					66.71		66.744		
67.2752	0.14799999999999613	UpDownStatesTimeIntervals								DOWN	
67.4232	0.1384000000000043	UpDownStatesTimeIntervals								UP	
68.0048	0.14799999999999613	UpDownStatesTimeIntervals								UP	
68.07520000000001	0.03439999999999088	RippleTimeIntervals					68.0968	22.569987615019976			
68.3856	0.03440000000000509	RippleTimeIntervals					68.40480000000001	9.150674424715847			
69.0304	0.23279999999999745	UpDownStatesTimeIntervals								UP	
70.3584	0.04399999999999693	UpDownStatesTimeIntervals								DOWN	
71.0792	0.13760000000000616	UpDownStatesTimeIntervals								UP	
71.49600000000001	0.031999999999996476	RippleTimeIntervals					71.5232	3.545457011211269			
71.6056	0.14560000000000173	UpDownStatesTimeIntervals								UP	
71.968	0.10880000000000223	UpDownStatesTimeIntervals								DOWN	
72.0768	0.14879999999999427	UpDownStatesTimeIntervals								UP	
72.6976	0.27840000000000487	UpDownStatesTimeIntervals								UP	
73.532	0.16400000000000148	UpDownStatesTimeIntervals								UP	
73.554	0.29699999999999704	HSETimeIntervals					73.724		73.7025		
75.3696	0.3375999999999948	UpDownStatesTimeIntervals								UP	
75.37899999999999	0.3340000000000032	HSETimeIntervals					75.466		75.54599999999999		
75.735	0.48499999999999943	HSETimeIntervals					76.088		75.9775		
76.3624	0.2336000000000098	UpDownStatesTimeIntervals								UP	
77.0496	0.21519999999999584	UpDownStatesTimeIntervals								UP	
79.6768	0.1343999999999994	UpDownStatesTimeIntervals								UP	
81.608	0.1383999999999901	UpDownStatesTimeIntervals								UP	
81.66720000000001	0.03359999999999275	RippleTimeIntervals					81.67840000000001	17.60209358207407			
83.12	0.147199999999998	UpDownStatesTimeIntervals								UP	
84.256	0.3269999999999982	HSETimeIntervals					84.386		84.4195		
84.2712	0.23040000000000305	UpDownStatesTimeIntervals								UP	
84.612	0.09120000000000061	UpDownStatesTimeIntervals								DOWN	
85.044	0.14159999999999684	UpDownStatesTimeIntervals								UP	
85.8296	0.23520000000000607	UpDownStatesTimeIntervals								UP	
86.5872	0.13680000000000803	UpDownStatesTimeIntervals								UP	
86.6216	0.050400000000010436	RippleTimeIntervals					86.65520000000001	28.46361036502353			
87.6408	0.4072000000000031	UpDownStatesTimeIntervals								UP	
87.722	0.22400000000000375	HSETimeIntervals					87.843		87.83399999999999		
88.1208	0.12160000000000082	UpDownStatesTimeIntervals								DOWN	
88.2424	0.28640000000000043	UpDownStatesTimeIntervals								UP	
88.61699999999999	0.1360000000000099	HSETimeIntervals					88.65299999999999		88.68499999999999		
88.7992	0.06959999999999411	UpDownStatesTimeIntervals								DOWN	
88.8688	0.14320000000000732	UpDownStatesTimeIntervals								UP	
89.01899999999999	0.24099999999999966	HSETimeIntervals					89.101		89.1395		
90.4808	0.2879999999999967	UpDownStatesTimeIntervals								UP	
90.9064	0.06479999999999109	UpDownStatesTimeIntervals								DOWN	
91.0952	0.23120000000000118	UpDownStatesTimeIntervals								UP	
91.235	0.17900000000000205	HSETimeIntervals					91.351		91.3245		
91.8064	0.1256000000000057	UpDownStatesTimeIntervals								UP	
92.1192	0.05679999999999552	UpDownStatesTimeIntervals								DOWN	
93.9384	0.15279999999999916	UpDownStatesTimeIntervals								UP	
94.08	0.23099999999999454	HSETimeIntervals					94.252		94.1955		
94.5008	0.15279999999999916	UpDownStatesTimeIntervals								UP	
95.273	0.10099999999999909	HSETimeIntervals					95.331		95.3235		
95.46	0.6928000000000054	UpDownStatesTimeIntervals								DOWN	
96.1528	0.23919999999999675	UpDownStatesTimeIntervals								UP	
96.199	0.09300000000000352	HSETimeIntervals					96.25		96.24549999999999		
96.79899999999999	0.2469999999999999	HSETimeIntervals					97.005		96.9225		
96.8096	0.2424000000000035	UpDownStatesTimeIntervals								UP	
98.4424	0.14159999999999684	UpDownStatesTimeIntervals								UP	
98.47840000000001	0.06560000000000343	RippleTimeIntervals					98.5224	15.465879587450548			
98.9512	0.16719999999999402	UpDownStatesTimeIntervals								UP	
99.0192	0.060000000000002274	RippleTimeIntervals					99.06400000000001	17.683933307173824			
100.0272	0.21680000000000632	UpDownStatesTimeIntervals								UP	
