onset	duration	nwb_table	epoch_name	behavioral_paradigm	environment	manipulation	peak_time	peak_normed_power	center_time	state	label
0.0	3077.9647666666665	epochs	fCamk5_210407_083625	BaselinePre	Home cage	None					
1.0	16.0	SleepStates									WAKEstate
4.032	0.09699999999999953	HSETimeIntervals					4.095		4.0805		
5.842	0.13200000000000056	HSETimeIntervals					5.935		5.9079999999999995		
10.988800000000001	0.02719999999999878	RippleTimeIntervals					11.005600000000001	4.31243231366614			
16.4128	0.020800000000001262	RippleTimeIntervals					16.4296	3.4014033154439454			
17.206	0.1269999999999989	HSETimeIntervals					17.235		17.2695		
18.0	9.0	SleepStates									NREMstate
19.9352	0.3176000000000023	UpDownStatesTimeIntervals								UP	
20.608	0.2896000000000001	UpDownStatesTimeIntervals								UP	
21.4248	0.032799999999998164	RippleTimeIntervals					21.445600000000002	8.560319496125812			
22.2	0.22879999999999967	UpDownStatesTimeIntervals								UP	
22.9104	0.1504000000000012	UpDownStatesTimeIntervals								UP	
27.3152	0.03760000000000119	RippleTimeIntervals					27.3424	3.2116076001614617			
27.376	0.029599999999998516	RippleTimeIntervals					27.384	6.979060821648462			
28.0	487.0	SleepStates									WAKEstate
28.6136	0.2759999999999998	UpDownStatesTimeIntervals								UP	
29.509999999999998	0.08000000000000185	HSETimeIntervals					29.547		29.549999999999997		
30.8944	0.025600000000000733	RippleTimeIntervals					30.9112	5.19742947338211			
36.895	0.22099999999999653	HSETimeIntervals					37.081		37.005500000000005		
38.39	0.11700000000000443	HSETimeIntervals					38.464000000000006		38.4485		
38.4624	0.027200000000000557	RippleTimeIntervals					38.476	7.930081773927802			
38.6632	0.05359999999999587	RippleTimeIntervals					38.6848	16.436343788872886			
49.8808	0.028800000000003934	RippleTimeIntervals					49.8888	4.054575579849659			
51.534000000000006	0.4789999999999992	HSETimeIntervals					51.761		51.773500000000006		
56.298	0.10099999999999909	HSETimeIntervals					56.332		56.3485		
58.563	0.1319999999999979	HSETimeIntervals					58.604000000000006		58.629000000000005		
60.513000000000005	0.07600000000000051	HSETimeIntervals					60.55800000000001		60.551		
62.085	0.20000000000000284	HSETimeIntervals					62.208000000000006		62.185		
68.4944	0.020000000000010232	RippleTimeIntervals					68.5072	6.671403268595464			
68.5176	0.26479999999999393	UpDownStatesTimeIntervals								UP	
69.228	0.2208000000000112	UpDownStatesTimeIntervals								UP	
69.6536	0.1752000000000038	UpDownStatesTimeIntervals								UP	
70.2328	0.22800000000000864	UpDownStatesTimeIntervals								UP	
