name	electrode_name	type	units	sampling_frequency	stream_id	gain
1	e000	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
2	e001	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
3	e002	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
4	e003	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
5	e004	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
6	e005	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
7	e006	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
8	e007	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
9	e008	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
10	e009	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
11	e010	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
12	e011	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
13	e012	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
14	e013	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
15	e014	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
16	e015	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
17	e016	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
18	e017	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
19	e018	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
20	e019	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
21	e020	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
22	e021	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
23	e022	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
24	e023	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
25	e024	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
26	e025	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
27	e026	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
28	e027	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
29	e028	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
30	e029	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
31	e030	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
32	e031	n/a	V	1250.0	ElectricalSeriesLFP	1.9499999999999999e-07
