onset	duration	nwb_table	epoch_name	behavioral_paradigm	environment	manipulation	peak_time	peak_normed_power	state	label
0.0	2941.504	epochs	fCamk3_201105_075734	BaselinePre	Home cage	None				
1.0	38.0	SleepStates								NREMstate
2.7864	0.22319999999999984	UpDownStatesTimeIntervals							UP	
3.6984	0.13200000000000012	UpDownStatesTimeIntervals							UP	
4.6376	0.20640000000000036	UpDownStatesTimeIntervals							UP	
5.1384	0.1576000000000004	UpDownStatesTimeIntervals							UP	
6.0136	0.12159999999999993	UpDownStatesTimeIntervals							UP	
6.6824	0.15039999999999942	UpDownStatesTimeIntervals							UP	
7.6208	0.11040000000000028	UpDownStatesTimeIntervals							UP	
8.1032	0.17600000000000016	UpDownStatesTimeIntervals							UP	
8.6264	0.09360000000000035	UpDownStatesTimeIntervals							UP	
9.1032	0.23760000000000048	UpDownStatesTimeIntervals							UP	
9.4688	0.4472000000000005	UpDownStatesTimeIntervals							UP	
10.2448	0.1352000000000011	UpDownStatesTimeIntervals							UP	
10.7928	0.10480000000000089	UpDownStatesTimeIntervals							UP	
12.46	0.2231999999999985	UpDownStatesTimeIntervals							UP	
13.036	0.14639999999999986	UpDownStatesTimeIntervals							UP	
14.16	0.20640000000000036	UpDownStatesTimeIntervals							UP	
14.932	0.27200000000000024	UpDownStatesTimeIntervals							UP	
15.9064	0.2912000000000017	UpDownStatesTimeIntervals							UP	
16.876	0.1847999999999992	UpDownStatesTimeIntervals							UP	
17.4528	0.12160000000000082	UpDownStatesTimeIntervals							UP	
18.0672	0.10079999999999956	UpDownStatesTimeIntervals							UP	
19.5472	0.2823999999999991	UpDownStatesTimeIntervals							UP	
20.0872	0.07120000000000104	UpDownStatesTimeIntervals							DOWN	
20.1584	0.2079999999999984	UpDownStatesTimeIntervals							UP	
21.4392	0.18799999999999883	UpDownStatesTimeIntervals							UP	
21.4664	0.05039999999999978	RippleTimeIntervals					21.4864	3.5268941120942756		
22.0	0.09600000000000009	UpDownStatesTimeIntervals							UP	
22.6528	0.11280000000000001	UpDownStatesTimeIntervals							UP	
23.072000000000003	0.021599999999999397	RippleTimeIntervals					23.092000000000002	1.9298626765548703		
23.3464	0.13599999999999923	UpDownStatesTimeIntervals							UP	
24.0696	0.02639999999999887	RippleTimeIntervals					24.0744	4.423021791431631		
24.8472	0.035199999999999676	RippleTimeIntervals					24.864	8.854712446471696		
25.148	0.02960000000000207	RippleTimeIntervals					25.169600000000003	6.419800456639113		
25.2264	0.02639999999999887	RippleTimeIntervals					25.240000000000002	1.8405140398610564		
27.5728	0.02639999999999887	RippleTimeIntervals					27.5864	6.960694160811345		
27.7008	0.035199999999999676	RippleTimeIntervals					27.728	3.149116091113129		
28.076800000000002	0.027999999999998693	RippleTimeIntervals					28.0808	2.3776754612481183		
28.4376	0.13200000000000145	UpDownStatesTimeIntervals							UP	
29.5296	0.18240000000000123	UpDownStatesTimeIntervals							UP	
30.2272	0.18400000000000105	UpDownStatesTimeIntervals							UP	
30.2544	0.053599999999999426	RippleTimeIntervals					30.2984	4.024746783026101		
31.4432	0.047999999999998266	UpDownStatesTimeIntervals							DOWN	
31.9616	0.021599999999999397	RippleTimeIntervals					31.98	1.734292681852588		
32.2144	0.16159999999999997	UpDownStatesTimeIntervals							UP	
32.224000000000004	0.029599999999994964	RippleTimeIntervals					32.2408	3.6401949569690024		
32.6192	0.20400000000000063	UpDownStatesTimeIntervals							UP	
33.2928	0.02960000000000207	RippleTimeIntervals					33.296800000000005	2.506553057457601		
33.504	0.18960000000000576	UpDownStatesTimeIntervals							UP	
33.5496	0.020800000000001262	RippleTimeIntervals					33.5584	13.575679340388515		
33.9888	0.13119999999999976	UpDownStatesTimeIntervals							UP	
34.5656	0.09039999999999537	UpDownStatesTimeIntervals							UP	
35.0008	0.24560000000000315	UpDownStatesTimeIntervals							UP	
35.0232	0.03359999999999985	RippleTimeIntervals					35.049600000000005	5.145812932633778		
35.14	0.06799999999999784	RippleTimeIntervals					35.1824	8.79665888278387		
36.6376	0.13680000000000092	UpDownStatesTimeIntervals							UP	
36.660000000000004	0.03519999999999612	RippleTimeIntervals					36.677600000000005	3.848070456896206		
37.1992	0.12880000000000535	UpDownStatesTimeIntervals							UP	
38.0672	0.1296000000000035	UpDownStatesTimeIntervals							UP	
38.7664	0.08960000000000434	UpDownStatesTimeIntervals							UP	
39.3416	0.11840000000000117	UpDownStatesTimeIntervals							UP	
40.0	51.0	SleepStates								WAKEstate
40.0504	0.19759999999999422	UpDownStatesTimeIntervals							DOWN	
40.248	0.14160000000000394	UpDownStatesTimeIntervals							UP	
40.8632	0.1448000000000036	UpDownStatesTimeIntervals							UP	
43.3072	0.13759999999999906	UpDownStatesTimeIntervals							UP	
43.5184	0.02960000000000207	RippleTimeIntervals					43.546400000000006	1.614825383057931		
43.8672	0.12240000000000606	UpDownStatesTimeIntervals							UP	
44.6264	0.1448000000000036	UpDownStatesTimeIntervals							UP	
45.2968	0.17040000000000077	UpDownStatesTimeIntervals							UP	
45.424800000000005	0.027999999999998693	RippleTimeIntervals					45.4448	2.3808866310430714		
46.2576	0.12480000000000047	UpDownStatesTimeIntervals							DOWN	
46.3824	0.14240000000000208	UpDownStatesTimeIntervals							UP	
48.6808	0.12400000000000233	UpDownStatesTimeIntervals							UP	
49.805600000000005	0.03439999999999799	RippleTimeIntervals					49.815200000000004	2.4800362684729444		
51.9392	0.22160000000000224	UpDownStatesTimeIntervals							DOWN	
52.1608	0.24320000000000164	UpDownStatesTimeIntervals							UP	
52.315200000000004	0.022399999999997533	RippleTimeIntervals					52.330400000000004	3.939408695813492		
52.8672	0.16080000000000183	UpDownStatesTimeIntervals							UP	
59.188	0.14239999999999498	UpDownStatesTimeIntervals							UP	
60.068	0.12720000000000198	UpDownStatesTimeIntervals							UP	
60.58	0.1280000000000001	UpDownStatesTimeIntervals							DOWN	
60.708	0.24640000000000128	UpDownStatesTimeIntervals							UP	
60.8648	0.04480000000000217	RippleTimeIntervals					60.8736	4.843739702761964		
61.404	0.147199999999998	UpDownStatesTimeIntervals							UP	
61.897600000000004	0.031999999999996476	RippleTimeIntervals					61.9048	3.6489960031571784		
62.5776	0.12000000000000455	UpDownStatesTimeIntervals							UP	
63.524	0.15279999999999916	UpDownStatesTimeIntervals							UP	
64.1016	0.17839999999999634	UpDownStatesTimeIntervals							UP	
64.1256	0.03279999999999461	RippleTimeIntervals					64.144	6.127909900712308		
66.796	0.048799999999999955	RippleTimeIntervals					66.84400000000001	1.661854228025959		
66.8216	0.18079999999999075	UpDownStatesTimeIntervals							UP	
66.9056	0.050399999999996226	RippleTimeIntervals					66.92320000000001	3.4935188491372853		
67.6416	0.14159999999999684	UpDownStatesTimeIntervals							UP	
67.916	0.10479999999999734	UpDownStatesTimeIntervals							DOWN	
68.612	0.1384000000000043	UpDownStatesTimeIntervals							UP	
68.988	0.24080000000000723	UpDownStatesTimeIntervals							DOWN	
69.4384	0.1688000000000045	UpDownStatesTimeIntervals							UP	
70.2976	0.21119999999999095	UpDownStatesTimeIntervals							UP	
71.1368	0.11840000000000828	UpDownStatesTimeIntervals							UP	
72.5416	0.21519999999999584	UpDownStatesTimeIntervals							UP	
73.4376	0.14799999999999613	UpDownStatesTimeIntervals							UP	
73.976	0.1599999999999966	UpDownStatesTimeIntervals							UP	
75.1016	0.15679999999998984	UpDownStatesTimeIntervals							UP	
75.16	0.03680000000001371	RippleTimeIntervals					75.18480000000001	5.5397143329838885		
75.7848	0.1775999999999982	UpDownStatesTimeIntervals							UP	
76.9136	0.05519999999999925	RippleTimeIntervals					76.9488	2.4206367268004034		
77.14240000000001	0.04639999999999134	RippleTimeIntervals					77.1696	7.06470824301308		
