onset	duration	nwb_table	epoch_name	state	label
0.0	3955.455966666667	epochs	fCamk2_201015_084106		
1.0	2425.0	SleepStates			NREMstate
1275.6744	0.14479999999980464	UpDownStatesTimeIntervals		UP	
2427.0	13.0	SleepStates			WAKEstate
2441.0	423.0	SleepStates			NREMstate
2865.0	9.0	SleepStates			WAKEstate
2875.0	468.0	SleepStates			NREMstate
3344.0	22.0	SleepStates			WAKEstate
3367.0	169.0	SleepStates			NREMstate
3537.0	12.0	SleepStates			WAKEstate
3550.0	59.0	SleepStates			NREMstate
3610.0	10.0	SleepStates			WAKEstate
3621.0	22.0	SleepStates			NREMstate
3644.0	9.0	SleepStates			WAKEstate
3654.0	136.0	SleepStates			NREMstate
3791.0	16.0	SleepStates			WAKEstate
3808.0	325.0	SleepStates			NREMstate
3955.456	4228.127966666667	epochs	fCamk2_201015_095107		
4038.912	0.14480000000003201	UpDownStatesTimeIntervals		UP	
4131.4968	0.14480000000003201	UpDownStatesTimeIntervals		UP	
4161.0	30.0	SleepStates			NREMstate
8183.584	1483.8719666666666	epochs	fCamk2_201015_110238		
8184.0	65.0	SleepStates			WAKEstate
8250.0	7.0	SleepStates			NREMstate
8250.3368	0.24800000000141154	UpDownStatesTimeIntervals		UP	
8251.0856	0.12559999999939464	UpDownStatesTimeIntervals		UP	
8251.244	0.0911999999989348	UpDownStatesTimeIntervals		DOWN	
8251.9176	0.1224000000001979	UpDownStatesTimeIntervals		UP	
8252.5872	0.13119999999980791	UpDownStatesTimeIntervals		UP	
8253.296	0.14719999999942956	UpDownStatesTimeIntervals		DOWN	
8253.4432	0.23279999999977008	UpDownStatesTimeIntervals		UP	
8254.004	0.20879999999851862	UpDownStatesTimeIntervals		UP	
8254.2432	0.32159999999930733	UpDownStatesTimeIntervals		DOWN	
8254.5648	0.1319999999996071	UpDownStatesTimeIntervals		UP	
8258.0	20.0	SleepStates			WAKEstate
8301.0	72.0	SleepStates			WAKEstate
8769.0	89.0	SleepStates			WAKEstate
9242.0	306.0	SleepStates			WAKEstate
9549.0	8.0	SleepStates			NREMstate
9555.0912	0.14480000000003201	UpDownStatesTimeIntervals		UP	
9556.0632	0.13999999999941792	UpDownStatesTimeIntervals		UP	
9556.9496	0.10720000000037544	UpDownStatesTimeIntervals		UP	
9557.4816	0.1368000000002212	UpDownStatesTimeIntervals		UP	
9558.0	301.0	SleepStates			WAKEstate
9667.456	3113.439966666667	epochs	fCamk2_201015_112739		
9860.0	7.0	SleepStates			NREMstate
9860.184	0.10560000000077707	UpDownStatesTimeIntervals		UP	
9860.6432	0.14239999999881547	UpDownStatesTimeIntervals		UP	
9861.48	0.15600000000085856	UpDownStatesTimeIntervals		UP	
9861.9504	0.3584000000009837	UpDownStatesTimeIntervals		DOWN	
9862.3088	0.2903999999998632	UpDownStatesTimeIntervals		UP	
9862.9968	0.27999999999883585	UpDownStatesTimeIntervals		UP	
9863.5192	0.561599999999089	UpDownStatesTimeIntervals		DOWN	
9864.0808	0.24799999999959255	UpDownStatesTimeIntervals		UP	
9868.0	71.0	SleepStates			WAKEstate
9940.0	25.0	SleepStates			NREMstate
9941.8288	0.13360000000102445	UpDownStatesTimeIntervals		UP	
9942.484	0.1279999999987922	UpDownStatesTimeIntervals		UP	
9943.4752	0.12159999999857973	UpDownStatesTimeIntervals		UP	
9944.2512	0.2407999999995809	UpDownStatesTimeIntervals		UP	
9945.4952	0.1496000000006461	UpDownStatesTimeIntervals		UP	
9946.1544	0.25680000000102154	UpDownStatesTimeIntervals		UP	
9947.1224	0.1496000000006461	UpDownStatesTimeIntervals		UP	
9947.5488	0.15679999999883876	UpDownStatesTimeIntervals		UP	
9949.1848	0.12399999999979627	UpDownStatesTimeIntervals		UP	
9949.5088	0.26080000000001746	UpDownStatesTimeIntervals		UP	
9950.5752	0.15680000000065775	UpDownStatesTimeIntervals		UP	
9951.3616	0.13760000000002037	UpDownStatesTimeIntervals		UP	
9952.0768	0.3279999999995198	UpDownStatesTimeIntervals		UP	
9952.6784	0.13359999999920547	UpDownStatesTimeIntervals		UP	
9955.3768	0.20160000000032596	UpDownStatesTimeIntervals		UP	
9956.216	0.044799999999668216	UpDownStatesTimeIntervals		DOWN	
9956.2608	0.14320000000043365	UpDownStatesTimeIntervals		UP	
9957.1064	0.12879999999859137	UpDownStatesTimeIntervals		UP	
9962.3016	0.09519999999974971	UpDownStatesTimeIntervals		UP	
9962.6856	0.1592000000000553	UpDownStatesTimeIntervals		DOWN	
9962.8448	0.1871999999984837	UpDownStatesTimeIntervals		UP	
9963.452	0.22000000000116415	UpDownStatesTimeIntervals		UP	
9966.0	81.0	SleepStates			WAKEstate
10048.0	7.0	SleepStates			NREMstate
10048.0312	0.14320000000043365	UpDownStatesTimeIntervals		UP	
10049.264	0.12480000000141445	UpDownStatesTimeIntervals		UP	
10056.0	177.0	SleepStates			WAKEstate
10234.0	8.0	SleepStates			NREMstate
10236.84	0.3783999999996013	UpDownStatesTimeIntervals		UP	
10238.136	0.14959999999882712	UpDownStatesTimeIntervals		UP	
10238.8128	0.14719999999942956	UpDownStatesTimeIntervals		UP	
10243.0	413.0	SleepStates			WAKEstate
12781.0	863.0	SleepStates			NREMstate
12806.0984	0.1407999999992171	UpDownStatesTimeIntervals		UP	
12814.0296	0.15760000000045693	UpDownStatesTimeIntervals		UP	
12814.628	0.17439999999987776	UpDownStatesTimeIntervals		UP	
12816.0872	0.10959999999977299	UpDownStatesTimeIntervals		UP	
12816.6328	0.13839999999981956	UpDownStatesTimeIntervals		UP	
12817.5736	0.11759999999958382	UpDownStatesTimeIntervals		UP	
12817.9256	0.2448000000003958	UpDownStatesTimeIntervals		UP	
12820.2616	0.12000000000080036	UpDownStatesTimeIntervals		UP	
12822.3144	0.13280000000122527	UpDownStatesTimeIntervals		UP	
12824.564	0.23040000000037253	UpDownStatesTimeIntervals		UP	
12825.3104	0.24400000000059663	UpDownStatesTimeIntervals		UP	
12826.0712	0.1224000000001979	UpDownStatesTimeIntervals		UP	
12826.9936	0.1584000000002561	UpDownStatesTimeIntervals		UP	
12829.96	0.25280000000020664	UpDownStatesTimeIntervals		UP	
12831.172	0.13999999999941792	UpDownStatesTimeIntervals		UP	
12831.9728	0.1496000000006461	UpDownStatesTimeIntervals		UP	
12832.7424	0.25760000000082073	UpDownStatesTimeIntervals		UP	
12833.4672	0.2448000000003958	UpDownStatesTimeIntervals		UP	
12834.5032	0.23520000000098662	UpDownStatesTimeIntervals		UP	
12835.7504	0.13119999999980791	UpDownStatesTimeIntervals		UP	
12836.2216	0.15999999999985448	UpDownStatesTimeIntervals		UP	
12836.9432	0.16560000000026776	UpDownStatesTimeIntervals		UP	
12842.0912	0.13279999999940628	UpDownStatesTimeIntervals		UP	
12843.2784	0.1368000000002212	UpDownStatesTimeIntervals		UP	
12845.3424	0.16719999999986612	UpDownStatesTimeIntervals		UP	
12845.7288	0.33999999999832653	UpDownStatesTimeIntervals		DOWN	
12846.0688	0.1544000000012602	UpDownStatesTimeIntervals		UP	
12846.7616	0.13360000000102445	UpDownStatesTimeIntervals		UP	
12847.7616	0.2551999999996042	UpDownStatesTimeIntervals		UP	
12848.468	0.12639999999919382	UpDownStatesTimeIntervals		UP	
12849.0728	0.13520000000062282	UpDownStatesTimeIntervals		UP	
12849.2288	0.32959999999911815	UpDownStatesTimeIntervals		DOWN	
12849.5584	0.12960000000020955	UpDownStatesTimeIntervals		UP	
12850.3736	0.13359999999920547	UpDownStatesTimeIntervals		UP	
12851.2544	0.15279999999984284	UpDownStatesTimeIntervals		UP	
12853.2384	0.13439999999900465	UpDownStatesTimeIntervals		UP	
12853.7104	0.2088000000003376	UpDownStatesTimeIntervals		DOWN	
12854.0736	0.14320000000043365	UpDownStatesTimeIntervals		UP	
12855.5904	0.15120000000024447	UpDownStatesTimeIntervals		UP	
12856.5448	0.24639999999999418	UpDownStatesTimeIntervals		UP	
12857.456	0.18080000000009022	UpDownStatesTimeIntervals		UP	
12858.2824	0.14400000000023283	UpDownStatesTimeIntervals		UP	
12859.252	0.15279999999984284	UpDownStatesTimeIntervals		UP	
12859.8712	0.1224000000001979	UpDownStatesTimeIntervals		UP	
12860.5912	0.2135999999991327	UpDownStatesTimeIntervals		UP	
12863.0192	0.14400000000023283	UpDownStatesTimeIntervals		UP	
12863.592	0.07999999999992724	UpDownStatesTimeIntervals		UP	
12864.1616	0.136000000000422	UpDownStatesTimeIntervals		UP	
12865.0672	0.1319999999996071	UpDownStatesTimeIntervals		UP	
12866.3456	0.15200000000004366	UpDownStatesTimeIntervals		UP	
12866.852	0.12239999999837892	UpDownStatesTimeIntervals		DOWN	
12867.2312	0.14400000000023283	UpDownStatesTimeIntervals		UP	
12871.5904	0.12080000000059954	UpDownStatesTimeIntervals		UP	
12872.2136	0.25200000000040745	UpDownStatesTimeIntervals		UP	
12872.5688	0.08960000000115542	UpDownStatesTimeIntervals		DOWN	
12873.1272	0.12319999999999709	UpDownStatesTimeIntervals		UP	
12873.916	0.13920000000143773	UpDownStatesTimeIntervals		UP	
12875.324	0.1279999999987922	UpDownStatesTimeIntervals		UP	
12875.8288	0.11520000000018626	UpDownStatesTimeIntervals		UP	
12876.4096	0.15679999999883876	UpDownStatesTimeIntervals		UP	
12877.172	0.1279999999987922	UpDownStatesTimeIntervals		UP	
12877.848	0.1496000000006461	UpDownStatesTimeIntervals		UP	
12878.956	0.12800000000061118	UpDownStatesTimeIntervals		UP	
12879.432	0.22959999999875436	UpDownStatesTimeIntervals		UP	
12882.712	0.24799999999959255	UpDownStatesTimeIntervals		UP	
12883.4384	0.04640000000108557	UpDownStatesTimeIntervals		DOWN	
12883.4848	0.13919999999961874	UpDownStatesTimeIntervals		UP	
12884.9632	0.12639999999919382	UpDownStatesTimeIntervals		UP	
12885.6288	0.13999999999941792	UpDownStatesTimeIntervals		DOWN	
12886.4848	0.13040000000000873	UpDownStatesTimeIntervals		UP	
12886.9744	0.19680000000153086	UpDownStatesTimeIntervals		UP	
12887.308	0.11359999999876891	UpDownStatesTimeIntervals		DOWN	
12887.74	0.15359999999964202	UpDownStatesTimeIntervals		UP	
12888.4528	0.1088000000017928	UpDownStatesTimeIntervals		UP	
12891.9464	0.2135999999991327	UpDownStatesTimeIntervals		UP	
12892.6912	0.11920000000100117	UpDownStatesTimeIntervals		UP	
12893.3656	0.14240000000063446	UpDownStatesTimeIntervals		UP	
12895.9176	0.13519999999880383	UpDownStatesTimeIntervals		UP	
12896.7112	0.16480000000046857	UpDownStatesTimeIntervals		UP	
12897.3536	0.11440000000038708	UpDownStatesTimeIntervals		UP	
