onset	duration	nwb_table	visited_arm	epoch_name	behavioral_paradigm	environment	manipulation	peak_time	peak_normed_power	peak_frequencies	ripple_durations	peak_amplitudes	label
397.6112	0.020800000000008367	RippleTimeIntervals						397.6248	6.557952154446486	161.90790985635763	0.020800000000008367	1344.9700188781426	
398.0	3.0	SleepStates											NREM_ThDt
398.0	3.0	SleepStates											NREM_noRipples_ThDt
399.98720000000003	0.03839999999996735	RippleTimeIntervals						400.0104	9.766777895299642	140.54792222194862	0.03839999999996735	2010.431737910752	
400.1744	0.06560000000001764	RippleTimeIntervals						400.22560000000004	9.220440905118101	157.18040155061001	0.06560000000001764	1595.5823786116423	
403.0912	0.02719999999999345	RippleTimeIntervals						403.10240000000005	6.200170287630783	164.1891210226001	0.02719999999999345	1428.278126207605	
404.7848	0.02800000000002001	RippleTimeIntervals						404.7952	9.590623854679285	153.17566625255282	0.02800000000002001	1737.3607541880788	
404.89520000000005	0.04239999999998645	RippleTimeIntervals						404.9064	7.943705208639676	148.06577988909768	0.04239999999998645	1751.9078074015988	
405.0	1.0	SleepStates											NREM_ThDt
405.0	1.0	SleepStates											NREM_noRipples_ThDt
405.0376	0.03120000000001255	RippleTimeIntervals						405.052	10.618586220638186	151.6015739903346	0.03120000000001255	1694.3897882732856	
406.05440000000004	0.020799999999951524	RippleTimeIntervals						406.0616	5.986671688507703	151.41797557668525	0.020799999999951524	1331.7872920225725	
409.0	12.0	SleepStates											WAKEstate
409.0	12.0	SleepStates											WAKEnontheta
409.0	2.0	SleepStates											QWake_ThDt
409.0	2.0	SleepStates											QWake_noRipples_ThDt
409.8856	0.040000000000020464	RippleTimeIntervals						409.9184	4.320676771421618	157.49520982576874	0.040000000000020464	874.3939435240587	
411.0	1.0	SleepStates											WAKEtheta_ThDt
414.0	1.0	SleepStates											QWake_ThDt
414.0	1.0	SleepStates											QWake_noRipples_ThDt
415.0	1.0	SleepStates											WAKEtheta_ThDt
416.904	0.023200000000031196	RippleTimeIntervals						416.9128	5.702747171151163	147.86695808609437	0.023200000000031196	1412.3916412566778	
417.0	3.0	SleepStates											QWake_ThDt
417.0	3.0	SleepStates											QWake_noRipples_ThDt
417.54240000000004	0.030399999999985994	RippleTimeIntervals						417.5624	12.088262266041262	160.4296518497907	0.030399999999985994	1851.6837560249587	
421.0	0.0	SleepStates											WAKEtheta_ThDt
422.0	13.0	SleepStates											NREMstate
422.87120000000004	0.02159999999997808	RippleTimeIntervals						422.88	7.857521945959734	162.13115138792364	0.02159999999997808	1557.5908379453115	
423.0	1.0	SleepStates											NREM_ThDt
423.0	1.0	SleepStates											NREM_noRipples_ThDt
423.3672	0.03839999999996735	RippleTimeIntervals						423.392	4.936531671895443	155.62895683575132	0.03839999999996735	1063.0845017338395	
424.0144	0.03440000000000509	RippleTimeIntervals						424.0264	3.8459493619746876	130.29985266681217	0.03440000000000509	1544.7307779477228	
426.0	3.0	SleepStates											NREM_ThDt
426.0	3.0	SleepStates											NREM_noRipples_ThDt
427.5744	0.040000000000020464	RippleTimeIntervals						427.59200000000004	6.346846946719124	136.84049267082713	0.040000000000020464	1731.2400103777104	
429.45520000000005	0.03999999999996362	RippleTimeIntervals						429.48240000000004	7.818239325789612	174.80323946248993	0.03999999999996362	1122.4568411892355	
429.63280000000003	0.03519999999997481	RippleTimeIntervals						429.65040000000005	10.692811209237654	148.95162064566696	0.03519999999997481	1663.8842229113318	
431.0	0.0	SleepStates											NREM_ThDt
431.0	0.0	SleepStates											NREM_noRipples_ThDt
433.0	2.0	SleepStates											NREM_ThDt
433.0	2.0	SleepStates											NREM_noRipples_ThDt
433.184	0.02400000000000091	RippleTimeIntervals						433.1968	5.571595035457349	144.5405759826932	0.02400000000000091	1381.4638551041037	
434.76800000000003	0.036000000000001364	RippleTimeIntervals						434.7824	11.357592490503762	152.61056588073902	0.036000000000001364	2073.023299897732	
436.0	20.0	SleepStates											WAKEstate
436.0	20.0	SleepStates											WAKEnontheta
436.0	4.0	SleepStates											QWake_ThDt
436.0	4.0	SleepStates											QWake_noRipples_ThDt
436.0	2.0	SleepStates											WAKEtheta_ThDt
442.0	0.0	SleepStates											WAKEtheta_ThDt
443.0	2.0	SleepStates											QWake_ThDt
443.0	2.0	SleepStates											QWake_noRipples_ThDt
445.0	2.0	SleepStates											WAKEtheta_ThDt
448.0	3.0	SleepStates											QWake_ThDt
448.0	3.0	SleepStates											QWake_noRipples_ThDt
448.55760000000004	0.03120000000001255	RippleTimeIntervals						448.56640000000004	7.57577962682142	149.027886546099	0.03120000000001255	1868.5205190190084	
451.0	3.0	SleepStates											WAKEtheta_ThDt
454.0	2.0	SleepStates											QWake_ThDt
454.0	2.0	SleepStates											QWake_noRipples_ThDt
455.548	0.021600000000034925	RippleTimeIntervals						455.5584	6.989677719880776	156.69474048110308	0.021600000000034925	1581.0378760700069	
457.0	8.0	SleepStates											NREMstate
461.0	0.0	SleepStates											NREM_ThDt
461.0	0.0	SleepStates											NREM_noRipples_ThDt
461.4696	0.02559999999999718	RippleTimeIntervals						461.48400000000004	5.3789554087519615	133.17920395289383	0.02559999999999718	1926.221340584555	
463.0	1.0	SleepStates											NREM_ThDt
463.0	1.0	SleepStates											NREM_noRipples_ThDt
