name	electrode_name	type	units	sampling_frequency
1	e000	n/a	V	-1.0
2	e001	n/a	V	-1.0
3	e002	n/a	V	-1.0
4	e003	n/a	V	-1.0
5	e004	n/a	V	-1.0
6	e005	n/a	V	-1.0
7	e006	n/a	V	-1.0
8	e007	n/a	V	-1.0
9	e008	n/a	V	-1.0
10	e009	n/a	V	-1.0
11	e010	n/a	V	-1.0
12	e011	n/a	V	-1.0
13	e012	n/a	V	-1.0
14	e013	n/a	V	-1.0
15	e014	n/a	V	-1.0
16	e015	n/a	V	-1.0
17	e016	n/a	V	-1.0
18	e017	n/a	V	-1.0
19	e018	n/a	V	-1.0
20	e019	n/a	V	-1.0
21	e020	n/a	V	-1.0
22	e021	n/a	V	-1.0
23	e022	n/a	V	-1.0
24	e023	n/a	V	-1.0
25	e024	n/a	V	-1.0
26	e025	n/a	V	-1.0
27	e026	n/a	V	-1.0
28	e027	n/a	V	-1.0
29	e028	n/a	V	-1.0
30	e029	n/a	V	-1.0
31	e030	n/a	V	-1.0
32	e031	n/a	V	-1.0
