onset	duration	nwb_table	epoch_name	behavioral_paradigm	environment	manipulation	peak_time	peak_normed_power	state	label
0.0	2890.528	epochs	fCamk3_201110_075832	BaselinePre	Home cage	None				
0.23120000000000002	0.021600000000000008	RippleTimeIntervals					0.2328	2.1322738312785403		
1.0	1772.0	SleepStates								WAKEstate
26.344800000000003	0.02319999999999922	RippleTimeIntervals					26.3488	2.2691468807994535		
28.2128	0.02319999999999922	RippleTimeIntervals					28.2296	3.0647300977791496		
31.5816	0.02400000000000091	RippleTimeIntervals					31.5864	1.7991022316630958		
43.4288	0.02960000000000207	RippleTimeIntervals					43.433600000000006	3.2108890286820064		
43.5904	0.03280000000000172	RippleTimeIntervals					43.616	4.381095854910317		
46.2744	0.03440000000000509	RippleTimeIntervals					46.2976	2.973400556214057		
51.436800000000005	0.03119999999999834	RippleTimeIntervals					51.4392	2.110981920762962		
51.720800000000004	0.021599999999999397	RippleTimeIntervals					51.726400000000005	3.044090137062949		
58.5088	0.025600000000004286	RippleTimeIntervals					58.5304	4.667165500056748		
62.4968	0.04080000000000439	RippleTimeIntervals					62.512800000000006	8.147272026436514		
68.7904	0.0367999999999995	RippleTimeIntervals					68.8088	3.2146878045359126		
81.8528	0.027200000000007662	RippleTimeIntervals					81.8576	3.5352831656194375		
97.1864	0.039199999999993906	RippleTimeIntervals					97.2184	4.632402429321404		
100.376	0.024799999999999045	RippleTimeIntervals					100.38560000000001	5.897318826774942		
105.8328	0.04240000000000066	RippleTimeIntervals					105.84240000000001	2.9959545858659746		
111.38080000000001	0.031999999999996476	RippleTimeIntervals					111.39200000000001	5.859424106212372		
116.42240000000001	0.031999999999996476	RippleTimeIntervals					116.4272	4.085911311371307		
117.34240000000001	0.024799999999999045	RippleTimeIntervals					117.3632	1.9748936965519883		
125.83120000000001	0.02559999999999718	RippleTimeIntervals					125.8456	12.86521627586912		
127.71520000000001	0.03439999999999088	RippleTimeIntervals					127.7416	8.513089835558688		
133.0968	0.030400000000014415	RippleTimeIntervals					133.1232	2.0874235942589636		
133.22400000000002	0.03119999999998413	RippleTimeIntervals					133.24	1.6934496973579345		
135.7936	0.02800000000002001	RippleTimeIntervals					135.8152	3.419769371421117		
137.5384	0.07120000000000459	RippleTimeIntervals					137.5976	8.063628396494913		
146.1904	0.023200000000002774	RippleTimeIntervals					146.2024	4.897245308039823		
153.2216	0.03120000000001255	RippleTimeIntervals					153.24880000000002	1.8368436706338451		
160.46	0.020000000000010232	RippleTimeIntervals					160.46720000000002	4.767794741632856		
160.5968	0.03999999999999204	RippleTimeIntervals					160.61520000000002	5.1863958066911		
166.78	0.0408000000000186	RippleTimeIntervals					166.8128	5.820508452827465		
177.8784	0.02800000000002001	RippleTimeIntervals					177.8992	4.61491110657335		
185.1784	0.02400000000000091	RippleTimeIntervals					185.18560000000002	1.510909196223626		
199.1648	0.07120000000000459	RippleTimeIntervals					199.19760000000002	11.162919173188744		
228.3184	0.03440000000000509	RippleTimeIntervals					228.3488	3.4512126087796937		
