onset	duration	nwb_table	epoch_name	behavioral_paradigm	environment	manipulation	peak_time	peak_normed_power	state	label
0.0	2704.4799666666668	epochs	fCamk3_201103_075750	BaselinePre	Home cage	None				
1.0	43.0	SleepStates								WAKEstate
45.0	7.0	SleepStates								NREMstate
45.2784	0.23440000000000083	UpDownStatesTimeIntervals							UP	
45.9896	0.13359999999999417	UpDownStatesTimeIntervals							UP	
47.5128	0.2383999999999986	UpDownStatesTimeIntervals							UP	
48.252	0.15439999999999543	UpDownStatesTimeIntervals							UP	
49.3672	0.13760000000000616	UpDownStatesTimeIntervals							UP	
53.0	138.0	SleepStates								WAKEstate
123.4496	0.04399999999999693	RippleTimeIntervals					123.4872	5.5038589983434605		
158.37120000000002	0.02400000000000091	RippleTimeIntervals					158.376	4.296722890116269		
192.0	12.0	SleepStates								NREMstate
195.1312	0.11839999999997985	UpDownStatesTimeIntervals							UP	
195.3936	0.32560000000000855	UpDownStatesTimeIntervals							DOWN	
195.7192	0.3032000000000039	UpDownStatesTimeIntervals							UP	
197.4672	0.15520000000000778	UpDownStatesTimeIntervals							UP	
198.2384	0.12719999999998777	UpDownStatesTimeIntervals							DOWN	
198.7232	0.14000000000001478	UpDownStatesTimeIntervals							UP	
199.1872	0.1384000000000185	UpDownStatesTimeIntervals							UP	
199.7888	0.13119999999997844	UpDownStatesTimeIntervals							UP	
201.66	0.14560000000000173	UpDownStatesTimeIntervals							UP	
202.4624	0.132000000000005	UpDownStatesTimeIntervals							UP	
203.6552	0.16639999999998167	UpDownStatesTimeIntervals							UP	
204.1352	0.34080000000000155	UpDownStatesTimeIntervals							UP	
205.0	69.0	SleepStates								WAKEstate
222.08	0.04560000000000741	RippleTimeIntervals					222.1208	3.0994102210333434		
251.91680000000002	0.050399999999996226	RippleTimeIntervals					251.9496	3.0309446297671228		
256.56800000000004	0.02559999999999718	RippleTimeIntervals					256.5888	1.714114733952721		
275.0	8.0	SleepStates								NREMstate
277.9944	0.27760000000000673	UpDownStatesTimeIntervals							UP	
279.4744	0.16559999999998354	UpDownStatesTimeIntervals							UP	
284.0	1185.0	SleepStates								WAKEstate
288.028	0.02960000000001628	RippleTimeIntervals					288.0312	1.6812240736326314		
301.2576	0.04800000000000182	RippleTimeIntervals					301.27680000000004	9.009555242559673		
305.3304	0.03360000000003538	RippleTimeIntervals					305.36	4.51649517144753		
306.3096	0.025600000000054024	RippleTimeIntervals					306.32640000000004	4.293617989590692		
310.6872	0.04640000000000555	RippleTimeIntervals					310.7264	2.7654186297571135		
324.9168	0.039199999999993906	RippleTimeIntervals					324.94960000000003	3.5785933342314		
