onset	duration	nwb_table	epoch_name	behavioral_paradigm	environment	manipulation	peak_time	peak_normed_power	label
0.0	2738.5279666666665	epochs	fCamk3_201028_084449	BaselinePre	Home cage	None			
1.0	997.0	SleepStates							WAKEstate
1.5272000000000001	0.030399999999999983	RippleTimeIntervals					1.5352000000000001	5.4481790488807755	
4.091200000000001	0.06079999999999952	RippleTimeIntervals					4.136	6.131117239135023	
4.551200000000001	0.049599999999999866	RippleTimeIntervals					4.5712	14.846759058420504	
16.1376	0.030400000000000205	RippleTimeIntervals					16.1536	8.358006816520883	
18.384800000000002	0.032799999999998164	RippleTimeIntervals					18.4056	1.6926001872691703	
18.4632	0.022400000000001086	RippleTimeIntervals					18.4736	2.2177982115325077	
44.7376	0.030400000000000205	RippleTimeIntervals					44.74	1.820900289394451	
51.0168	0.03359999999999985	RippleTimeIntervals					51.0456	2.589930544142576	
92.748	0.0367999999999995	RippleTimeIntervals					92.7776	3.102197886673685	
112.9792	0.03359999999999275	RippleTimeIntervals					112.98960000000001	6.193921464722201	
116.05120000000001	0.03279999999999461	RippleTimeIntervals					116.05680000000001	4.754614394999352	
116.336	0.03520000000000323	RippleTimeIntervals					116.3576	18.863668528155596	
117.7192	0.04400000000001114	RippleTimeIntervals					117.7552	12.105956848785802	
120.4936	0.06640000000000157	RippleTimeIntervals					120.5488	6.7215340159704375	
136.72	0.03839999999999577	RippleTimeIntervals					136.73600000000002	16.910890490956287	
139.2176	0.06800000000001205	RippleTimeIntervals					139.2776	9.24710815696351	
156.0144	0.0367999999999995	RippleTimeIntervals					156.0432	7.564189484865368	
166.8152	0.0519999999999925	RippleTimeIntervals					166.844	18.84082396407434	
167.71040000000002	0.09439999999997895	RippleTimeIntervals					167.7664	10.07705196987306	
183.49120000000002	0.03119999999998413	RippleTimeIntervals					183.5184	2.2501143660498184	
209.524	0.021600000000006503	RippleTimeIntervals					209.5352	3.9940336556470584	
212.19920000000002	0.03999999999999204	RippleTimeIntervals					212.22560000000001	11.1077776812266	
214.3232	0.05519999999998504	RippleTimeIntervals					214.348	3.689241830811033	
214.44480000000001	0.029599999999987858	RippleTimeIntervals					214.46640000000002	9.47991902341929	
214.9216	0.04959999999999809	RippleTimeIntervals					214.9608	27.47060673876021	
226.22320000000002	0.02240000000000464	RippleTimeIntervals					226.2384	4.917125092473034	
226.4136	0.028800000000018144	RippleTimeIntervals					226.4336	19.17749130715028	
293.41040000000004	0.022399999999947795	RippleTimeIntervals					293.42560000000003	7.044239403739198	
299.5416	0.031999999999982265	RippleTimeIntervals					299.5672	3.536604941642472	
301.1936	0.02960000000001628	RippleTimeIntervals					301.2056	2.867491549676932	
306.7432	0.03440000000000509	RippleTimeIntervals					306.7696	5.142368502797505	
306.84000000000003	0.04399999999998272	RippleTimeIntervals					306.85360000000003	13.425824556229918	
307.96000000000004	0.036000000000001364	RippleTimeIntervals					307.98560000000003	4.947829860157631	
308.26640000000003	0.02240000000000464	RippleTimeIntervals					308.2712	3.69244196223609	
338.3552	0.06880000000001019	RippleTimeIntervals					338.3824	3.0393984416026942	
341.8312	0.04399999999998272	RippleTimeIntervals					341.8664	2.28062464662125	
384.528	0.04559999999997899	RippleTimeIntervals					384.55440000000004	1.9373206206619085	
391.4832	0.031999999999982265	RippleTimeIntervals					391.48720000000003	1.8771479367980086	
395.6496	0.04640000000000555	RippleTimeIntervals					395.6848	2.494703145882868	
396.04080000000005	0.028799999999989723	RippleTimeIntervals					396.0528	1.8067937389873934	
412.7896	0.02559999999999718	RippleTimeIntervals					412.808	1.9690705402197877	
422.196	0.02719999999999345	RippleTimeIntervals					422.21840000000003	5.646281945065118	
429.8224	0.031999999999982265	RippleTimeIntervals					429.84720000000004	6.400027344693785	
448.68800000000005	0.04159999999995989	RippleTimeIntervals					448.7128	5.6927515361882906	
469.668	0.06080000000002883	RippleTimeIntervals					469.68	3.5878560582653236	
481.3672	0.0624000000000251	RippleTimeIntervals					481.38960000000003	7.049145745525001	
493.1032	0.021600000000034925	RippleTimeIntervals					493.11440000000005	4.432227889968644	
495.2352	0.03840000000002419	RippleTimeIntervals					495.2472	7.259240225063948	
570.004	0.037599999999997635	RippleTimeIntervals					570.0344	3.486983554165019	
571.5144	0.07439999999996871	RippleTimeIntervals					571.5192000000001	1.9899986736597366	
627.1504	0.029600000000073123	RippleTimeIntervals					627.1696000000001	5.77121812616524	
646.12	0.020800000000008367	RippleTimeIntervals					646.1368	1.7707333172975592	
684.9496	0.03279999999995198	RippleTimeIntervals					684.9544000000001	1.7958917190957104	
710.8952	0.03679999999997108	RippleTimeIntervals					710.9248	3.472443511372537	
715.5368000000001	0.05279999999993379	RippleTimeIntervals					715.5664	5.636628428311307	
716.996	0.022400000000061482	RippleTimeIntervals					717.0144	2.533039384551447	
718.6328000000001	0.0807999999999538	RippleTimeIntervals					718.7088	2.8859494468152973	
766.1144	0.04800000000000182	RippleTimeIntervals					766.1192000000001	2.009030168503526	
776.1336	0.037599999999997635	RippleTimeIntervals					776.1448	4.4492138460767325	
787.6336	0.024800000000027467	RippleTimeIntervals					787.6456000000001	7.600592532474165	
792.3616000000001	0.07119999999997617	RippleTimeIntervals					792.3792000000001	4.012330788293017	
793.0816000000001	0.023199999999974352	RippleTimeIntervals					793.0888	3.6999645813427833	
796.4272000000001	0.03440000000000509	RippleTimeIntervals					796.4536	4.261282022981749	
798.2864000000001	0.061599999999998545	RippleTimeIntervals					798.3408000000001	6.1006814142360986	
801.7432	0.08960000000001855	RippleTimeIntervals					801.8088	11.86802811611268	
803.0496	0.04399999999998272	RippleTimeIntervals					803.0664	8.275652879761143	
804.056	0.03599999999994452	RippleTimeIntervals					804.0648	16.05719061910455	
806.4728	0.029600000000073123	RippleTimeIntervals					806.4776	1.846119726167962	
809.4544000000001	0.03279999999995198	RippleTimeIntervals					809.4792	5.664155396386948	
809.5656	0.029600000000073123	RippleTimeIntervals					809.5848000000001	8.063851665192189	
810.8696	0.029600000000073123	RippleTimeIntervals					810.8776	6.985708092308457	
810.9272000000001	0.025599999999940337	RippleTimeIntervals					810.9456	3.8633782847575633	
812.5824	0.02719999999999345	RippleTimeIntervals					812.6024	3.0530679496440247	
813.8720000000001	0.06799999999998363	RippleTimeIntervals					813.9264000000001	5.552059123699672	
821.2704	0.03040000000009968	RippleTimeIntervals					821.2792000000001	11.994024587463871	
822.1424000000001	0.050399999999967804	RippleTimeIntervals					822.148	5.017011339288303	
822.8776	0.030399999999985994	RippleTimeIntervals					822.8976	2.8022154760765563	
826.0816000000001	0.03679999999997108	RippleTimeIntervals					826.0984000000001	10.959288520358552	
826.9552	0.020800000000008367	RippleTimeIntervals					826.9712000000001	2.0163602082965446	
831.0728	0.023199999999974352	RippleTimeIntervals					831.0888	7.396696519370766	
832.8152	0.024800000000027467	RippleTimeIntervals					832.8192	3.1340122013957554	
840.428	0.03600000000005821	RippleTimeIntervals					840.4424	10.558907969953657	
840.9824	0.028800000000046566	RippleTimeIntervals					840.9872	2.8860966009788034	
846.7128	0.08640000000002601	RippleTimeIntervals					846.7768000000001	14.261188564906636	
847.7616	0.02719999999999345	RippleTimeIntervals					847.7672	4.931142468424541	
858.1744	0.040800000000103864	RippleTimeIntervals					858.192	2.445443335284298	
862.7104	0.037599999999997635	RippleTimeIntervals					862.712	1.6162382032425417	
870.3632	0.021600000000034925	RippleTimeIntervals					870.3752000000001	2.7934203446007695	
870.768	0.03840000000002419	RippleTimeIntervals					870.7728000000001	3.478900245858485	
874.7592000000001	0.02879999999993288	RippleTimeIntervals					874.7744	6.68817099865781	
881.7888	0.03279999999995198	RippleTimeIntervals					881.808	2.3050388871942964	
885.4288	0.057599999999979445	RippleTimeIntervals					885.4512000000001	7.429007615135243	
894.9544000000001	0.13040000000000873	RippleTimeIntervals					895.0584	4.750873560980124	
905.8176000000001	0.03999999999996362	RippleTimeIntervals					905.8432	8.446926582663743	
905.9024000000001	0.04800000000000182	RippleTimeIntervals					905.9296	4.748625373882606	
909.4296	0.030399999999985994	RippleTimeIntervals					909.4344000000001	2.0345387039636535	
913.1184000000001	0.1312000000000353	RippleTimeIntervals					913.152	10.680994699891553	
923.6784	0.036800000000084765	RippleTimeIntervals					923.7104	2.2906340201306783	
953.8488000000001	0.030399999999985994	RippleTimeIntervals					953.8632	5.108048216985706	
972.0696	0.028800000000046566	RippleTimeIntervals					972.0744000000001	2.048151892472676	
983.0144	0.03679999999997108	RippleTimeIntervals					983.0464000000001	2.0013835027760862	
996.192	0.024800000000027467	RippleTimeIntervals					996.1976000000001	4.041736214922552	
996.3720000000001	0.041600000000016735	RippleTimeIntervals					996.3976	7.026004649787963	
998.3368	0.03440000000000509	RippleTimeIntervals					998.3632	13.9095562114979	
999.0	8.0	SleepStates							NREMstate
999.6936000000001	0.033599999999978536	RippleTimeIntervals					999.7232	3.2479513759852594	
1000.0848000000001	0.04079999999999018	RippleTimeIntervals					1000.1080000000001	15.267590635149595	
1000.9368000000001	0.037599999999997635	RippleTimeIntervals					1000.9408000000001	2.449146236871265	
1001.3256	0.022400000000061482	RippleTimeIntervals					1001.3304	3.4338927220723914	
1001.596	0.028800000000046566	RippleTimeIntervals					1001.5968	1.6916643259768314	
1002.9864	0.04079999999999018	RippleTimeIntervals					1002.9920000000001	4.00323352999009	
1003.7152000000001	0.021599999999921238	RippleTimeIntervals					1003.72	4.067314538268772	
1003.82	0.033599999999978536	RippleTimeIntervals					1003.84	7.114676319826687	
1004.1896	0.06799999999998363	RippleTimeIntervals					1004.2368	13.645375951823425	
1004.6752	0.023199999999974352	RippleTimeIntervals					1004.6936000000001	3.896113990241257	
1005.7816	0.030399999999985994	RippleTimeIntervals					1005.8000000000001	7.706226924903323	
1008.0	29.0	SleepStates							WAKEstate
1008.7944	0.020000000000095497	RippleTimeIntervals					1008.8072000000001	5.306128638995369	
1009.2024	0.030399999999985994	RippleTimeIntervals					1009.2288000000001	2.492661295480703	
1009.44	0.026399999999966894	RippleTimeIntervals					1009.4592	4.31733501566703	
1014.6656	0.03279999999995198	RippleTimeIntervals					1014.6832	6.787066562128908	
1015.4032000000001	0.07519999999999527	RippleTimeIntervals					1015.4632	11.07016787290434	
1017.3152	0.041600000000016735	RippleTimeIntervals					1017.3304	3.695656478755827	
1018.5920000000001	0.022399999999947795	RippleTimeIntervals					1018.6064	9.419661427639312	
1018.8032000000001	0.0543999999999869	RippleTimeIntervals					1018.8264	4.038059512937867	
1026.9712	0.031200000000126238	RippleTimeIntervals					1026.9912000000002	7.346880909962197	
1032.9944	0.05279999999993379	RippleTimeIntervals					1033.036	4.536188937308796	
1033.7768	0.03679999999985739	RippleTimeIntervals					1033.7824	3.115041959824162	
1034.4072	0.028800000000046566	RippleTimeIntervals					1034.428	5.918290231383811	
1034.9208	0.026399999999966894	RippleTimeIntervals					1034.9368	2.2035067453173873	
1036.4096	0.044800000000122964	RippleTimeIntervals					1036.444	18.03676608861428	
1038.0	7.0	SleepStates							NREMstate
1038.7416	0.038399999999910506	RippleTimeIntervals					1038.7728	3.9350146364696075	
1039.5328	0.044000000000096406	RippleTimeIntervals					1039.5520000000001	9.854569329659022	
1039.8192000000001	0.02719999999999345	RippleTimeIntervals					1039.824	5.782565210224619	
1040.088	0.031200000000126238	RippleTimeIntervals					1040.096	12.03871318510902	
1041.728	0.036800000000084765	RippleTimeIntervals					1041.7440000000001	10.542171429951988	
1042.464	0.020800000000008367	RippleTimeIntervals					1042.476	2.727700121204191	
1044.1464	0.03279999999995198	RippleTimeIntervals					1044.1536	12.172199702169621	
1046.0	41.0	SleepStates							WAKEstate
1046.3376	0.041600000000016735	RippleTimeIntervals					1046.3752	4.596487942669487	
1049.068	0.028800000000046566	RippleTimeIntervals					1049.084	3.7748776914852042	
1049.8048000000001	0.09279999999989741	RippleTimeIntervals					1049.8688	7.595433267821491	
1050.4624000000001	0.05759999999986576	RippleTimeIntervals					1050.4984	11.908669062493788	
1050.6352	0.08080000000018117	RippleTimeIntervals					1050.6904	11.565558596011769	
1053.3856	0.03199999999992542	RippleTimeIntervals					1053.4032	12.944956952414136	
1060.952	0.024000000000114596	RippleTimeIntervals					1060.972	3.266680019057808	
1061.1056	0.02959999999984575	RippleTimeIntervals					1061.116	7.299539601311673	
1065.588	0.02719999999999345	RippleTimeIntervals					1065.5952	6.982869128507317	
1065.8288	0.06560000000013133	RippleTimeIntervals					1065.8696	20.89129137486226	
1066.028	0.03520000000003165	RippleTimeIntervals					1066.0424	18.47799012559718	
1069.4272	0.030399999999872307	RippleTimeIntervals					1069.4504	2.2225273241669035	
1074.6008000000002	0.05279999999993379	RippleTimeIntervals					1074.6064000000001	8.68475268992143	
1075.0888	0.05280000000016116	RippleTimeIntervals					1075.1344000000001	4.577965932546854	
1075.3120000000001	0.023199999999860665	RippleTimeIntervals					1075.328	4.5327509299307485	
1077.3176	0.03679999999985739	RippleTimeIntervals					1077.3464000000001	7.016124228183198	
1077.8368	0.03279999999995198	RippleTimeIntervals					1077.8648	1.7295903551519765	
1078.4816	0.025599999999940337	RippleTimeIntervals					1078.4896	8.678263300255848	
1079.2608	0.0704000000000633	RippleTimeIntervals					1079.324	10.982930533992826	
1080.6032	0.05120000000010805	RippleTimeIntervals					1080.6288	6.702045441307361	
1080.7528	0.04640000000017608	RippleTimeIntervals					1080.7864	13.11640385146283	
1082.5136	0.02719999999999345	RippleTimeIntervals					1082.536	4.805031736195424	
1082.8944000000001	0.020800000000008367	RippleTimeIntervals					1082.896	1.928028048839803	
1083.8088	0.022400000000061482	RippleTimeIntervals					1083.8200000000002	4.538490857315552	
1086.2328	0.029600000000073123	RippleTimeIntervals					1086.2472	7.85439035504201	
1087.6752000000001	0.02800000000002001	RippleTimeIntervals					1087.6792	2.0841071362943224	
1088.0	9.0	SleepStates							NREMstate
1089.7432000000001	0.023199999999860665	RippleTimeIntervals					1089.752	3.105532301652104	
1089.8912	0.07200000000011642	RippleTimeIntervals					1089.952	11.475435665130279	
1091.5776	0.05279999999993379	RippleTimeIntervals					1091.604	4.7485638133738775	
1093.3704	0.053599999999960346	RippleTimeIntervals					1093.3816000000002	6.857845319084983	
1095.1432	0.02560000000016771	RippleTimeIntervals					1095.152	11.703606220786696	
1098.0	40.0	SleepStates							WAKEstate
1106.0048000000002	0.03279999999995198	RippleTimeIntervals					1106.0264	3.3181360453370115	
1107.3856	0.049600000000054933	RippleTimeIntervals					1107.392	9.41089260229211	
1110.7104000000002	0.02479999999991378	RippleTimeIntervals					1110.7272	2.769694592573621	
1110.8712	0.046399999999948704	RippleTimeIntervals					1110.9	12.77526742518487	
1112.2920000000001	0.06079999999997199	RippleTimeIntervals					1112.3024	5.123663271464843	
1114.2776000000001	0.02959999999984575	RippleTimeIntervals					1114.2992000000002	11.28124466908112	
1127.8032	0.041600000000016735	RippleTimeIntervals					1127.8144	13.505711276035102	
1128.4024	0.03840000000013788	RippleTimeIntervals					1128.4336	4.299617851672116	
1131.3824	0.03440000000000509	RippleTimeIntervals					1131.3912	15.238163574997962	
1134.1176	0.05040000000008149	RippleTimeIntervals					1134.132	10.942515318439318	
1139.0	16.0	SleepStates							NREMstate
1142.9304	0.02560000000016771	RippleTimeIntervals					1142.9392	2.9740840303371807	
1143.0512	0.03919999999993706	RippleTimeIntervals					1143.0592000000001	11.564713724415396	
1147.2368000000001	0.02800000000002001	RippleTimeIntervals					1147.2568	8.056596304756628	
1148.5824	0.0784000000001015	RippleTimeIntervals					1148.6448	7.719706354373498	
1155.1072000000001	0.0807999999999538	RippleTimeIntervals					1155.164	14.59730135882899	
1155.2896	0.05999999999994543	RippleTimeIntervals					1155.2976	2.640262005894397	
1156.0	515.0	SleepStates							WAKEstate
1159.3584	0.03440000000000509	RippleTimeIntervals					1159.364	4.426578566186289	
1189.3696	0.03440000000000509	RippleTimeIntervals					1189.3832	14.381941929627947	
1189.5264	0.049600000000054933	RippleTimeIntervals					1189.54	13.179937902502987	
1211.04	0.028800000000046566	RippleTimeIntervals					1211.0648	2.3859298609890454	
1211.8912	0.03600000000005821	RippleTimeIntervals					1211.912	13.039791111073155	
1222.0136	0.028800000000046566	RippleTimeIntervals					1222.0192	1.6365230047743076	
1222.6408000000001	0.020800000000008367	RippleTimeIntervals					1222.6424	1.777058178892109	
1238.3808000000001	0.03999999999996362	RippleTimeIntervals					1238.4144000000001	4.470376976279181	
1243.3632	0.04719999999997526	RippleTimeIntervals					1243.3680000000002	3.445374720953663	
1272.2184	0.041600000000016735	RippleTimeIntervals					1272.2440000000001	10.200961785470232	
1281.7584000000002	0.030399999999872307	RippleTimeIntervals					1281.7808	3.17988770200597	
1287.0136	0.049600000000054933	RippleTimeIntervals					1287.0464	7.601966295808864	
1287.4352000000001	0.07600000000002183	RippleTimeIntervals					1287.4496000000001	8.84815903166202	
