onset	duration	nwb_table	epoch_name	peak_time	state	label
0.0	2794.111966666667	epochs	fCamk3_201102_085324			
1.0	49.0	SleepStates				WAKEstate
21.0928	0.1103999999999985	RippleTimeIntervals		21.116		
24.1856	0.07519999999999882	RippleTimeIntervals		24.244		
51.0	17.0	SleepStates				NREMstate
53.4336	0.07280000000000086	UpDownStatesTimeIntervals			UP	
53.92	0.1343999999999994	UpDownStatesTimeIntervals			UP	
55.0632	0.11119999999999663	UpDownStatesTimeIntervals			UP	
57.3376	0.13360000000000127	UpDownStatesTimeIntervals			UP	
57.6056	0.05359999999999587	UpDownStatesTimeIntervals			DOWN	
57.832	0.1167999999999978	UpDownStatesTimeIntervals			UP	
58.6464	0.1167999999999978	UpDownStatesTimeIntervals			UP	
59.3488	0.23920000000000385	UpDownStatesTimeIntervals			UP	
61.6736	0.16159999999999997	UpDownStatesTimeIntervals			UP	
62.0152	0.03520000000000323	UpDownStatesTimeIntervals			DOWN	
62.6352	0.1560000000000059	UpDownStatesTimeIntervals			UP	
63.2912	0.10319999999999396	UpDownStatesTimeIntervals			DOWN	
63.3944	0.30880000000000507	UpDownStatesTimeIntervals			UP	
64.0832	0.12479999999999336	UpDownStatesTimeIntervals			UP	
65.4032	0.2879999999999967	UpDownStatesTimeIntervals			UP	
66.3712	0.1103999999999985	UpDownStatesTimeIntervals			UP	
69.0	342.0	SleepStates				WAKEstate
73.6952	0.21120000000000516	RippleTimeIntervals		73.736		
87.0304	0.11119999999999663	RippleTimeIntervals		87.072		
87.3048	0.12640000000000384	RippleTimeIntervals		87.4192		
91.6768	0.08159999999999457	RippleTimeIntervals		91.7184		
92.1184	0.056000000000011596	RippleTimeIntervals		92.1648		
135.9216	0.11439999999998918	RippleTimeIntervals		135.9816		
137.616	0.0367999999999995	RippleTimeIntervals		137.6496		
137.868	0.11840000000000828	RippleTimeIntervals		137.9768		
148.2544	0.0671999999999855	RippleTimeIntervals		148.2832		
148.8776	0.12000000000000455	RippleTimeIntervals		148.9384		
171.0928	0.07759999999998968	RippleTimeIntervals		171.156		
177.2256	0.07520000000002369	RippleTimeIntervals		177.2624		
190.7912	0.11599999999998545	RippleTimeIntervals		190.8976		
195.4208	0.10239999999998872	RippleTimeIntervals		195.4424		
203.4224	0.020799999999979946	RippleTimeIntervals		203.4256		
227.7688	0.07280000000000086	RippleTimeIntervals		227.8392		
252.4992	0.050399999999996226	RippleTimeIntervals		252.536		
269.1136	0.05279999999999063	RippleTimeIntervals		269.1408		
270.8488	0.0776000000000181	RippleTimeIntervals		270.8496		
282.2656	0.08799999999996544	RippleTimeIntervals		282.2944		
